bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,content,content,content,content,content,content,content,categories,categories,categories,categories,categories
caffetteria,Ginseng,TRUE,2,Bevanda al Ginseng,Ginseng Drink,Ginseng-based drink,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caffetteria,Brioches,TRUE,"2,2",Cornetti,Croissants,Pastries,vegetariano,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft_drinks,"Acqua Alla Spina 0,75L",TRUE,"1,5","Acqua microfiltrata 0,75L",Tap Water 0.75L,Filtered water 0.75L,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft_drinks,Acqua Mezzo Litro,TRUE,1,"Acqua in bottiglia 0,5L",Water Half Liter,Bottled water 0.5L,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft_drinks,Gaza Cola,TRUE,"2,5",Bibita gassata tipo cola,Gaza Cola,Cola soft drink,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft_drinks,Succhi Di Frutta Bio,TRUE,3,"Pera, Pesca, Mirtillo, Arancia",Organic Fruit Juices,"Pear, Peach, Blueberry, Orange",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft_drinks,Cedrata Tassoni,TRUE,"2,5",Bibita al cedro,Tassoni Citron Soda,Citron soft drink,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft_drinks,Red Bull,TRUE,3,Energy drink,Red Bull,Energy drink,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft_drinks,Crodino,TRUE,"2,5",Aperitivo analcolico,Crodino,Non-alcoholic aperitif,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft_drinks,Camparino,TRUE,"2,5",Versione analcolica Campari,Camparino,Non-alcoholic Campari version,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
